date,prophet,prophet_lower,prophet_upper,arima,arima_lower,arima_upper,actual,forecast,lower,upper,residual,forecast_surprise_zscore
2018-01-02,1508912481.8443112,1023488221.4067605,2042024424.7294726,1571533556.1296039,1110655750.8241327,2032411361.435075,1934395877,1541676888.5966215,1069095749.2561433,2036994707.1861677,392718988.4033785,
2018-01-03,1603006023.8862088,1096050802.1277378,2105120315.5785177,1884310023.8692892,1423429746.9248576,2345190300.8137207,2265312554,1750189041.4516258,1267341011.2449932,2230728998.1991973,515123512.5483742,
2018-01-04,1585509036.573163,1029380171.9458567,2046285459.5951385,2151363998.2929907,1690461253.0181737,2612266743.5678077,2221143658,1881573937.0910978,1375268991.0649738,2342416454.0554276,339569720.90890217,
2018-01-05,1708020692.4215183,1221722716.061566,2190983461.4768815,2193460249.5674534,1732740398.2750125,2654180100.8598943,2026419103,1962010891.1768007,1489095823.098737,2433335788.904336,64408211.82319927,
2018-01-08,1713335783.5524464,1245009795.0990255,2173915935.0074124,2092338215.0473082,1631767168.2913034,2552909261.8033133,1995618360,1911636275.317225,1447367803.7143936,2372211663.0394773,83982084.68277502,0.4747911317025276
2018-01-09,1865566268.8221812,1366649877.0989087,2354339003.960302,2040561949.398707,1580166733.535117,2500957165.2622967,2034615027,1957126973.0059686,1478365512.9706109,2431052109.39648,77488053.99403143,0.43506800900473297
2018-01-10,1994723019.055773,1474467015.624525,2495826176.5789237,2053239795.785304,1593033872.8933728,2513445718.677235,2118351635,2025339987.8076296,1536503203.6528745,2505045019.4475155,93011647.19237041,0.5366540287784697
2018-01-11,2070157065.1588898,1562602143.7958543,2565763250.409581,2100525029.8652756,1640502021.0835595,2560548038.6469917,2017450434,2086046098.6709437,1603360679.0739512,2563034563.2792645,-68595664.67094374,-0.3633906159626563
2018-01-12,2191370065.722713,1700379008.4641612,2672873934.3701096,2068410095.4010422,1608565840.0811293,2528254350.720955,2133148966,2127035326.533842,1652340803.6193345,2597206518.6141405,6113639.466157913,0.03271969088580557
2018-01-16,2373729444.0449686,1851700734.9283478,2908830800.9689307,2104273729.9712615,1644612007.011637,2563935452.9308863,2636624004,2232745650.355587,1743348404.7787642,2728375712.980252,403878353.644413,2.114940331016416
2018-01-17,2401844407.7733674,1900837472.6570313,2877663668.1522036,2366185333.5475707,1906297550.6897743,2826073116.405367,2429079103,2383186976.1390586,1903694277.9674788,2850670617.628852,45892126.86094141,0.24570116460452499
2018-01-18,2462294261.397847,2013907131.863032,2974497585.269212,2363124118.121961,1903418940.257142,2822829295.98678,2339799893,2410406762.6754065,1956097838.5473347,2895142167.3337555,-70606869.67540646,-0.36863689960810775
2018-01-19,2556491988.385929,2103517975.3062224,3039767768.677951,2281222582.1512003,1821704737.1268167,2740740427.175584,2468467667,2412466372.4846096,1956068515.690926,2883311598.6287155,56001294.515390396,0.30112234595847664
2018-01-22,2414175813.095949,1896886470.7736614,2947143702.4131513,2325724940.03405,1866343863.7813263,2785106016.2867737,2189638549,2367896818.1142607,1880906061.4594786,2862362840.4103622,-178258269.11426067,-0.9000375926259397
2018-01-23,2509614085.986214,2017357099.3400376,2995857154.764186,2217344533.3030806,1758124093.1772916,2676564973.4288692,2207018194,2356693705.5117607,1881721999.5836096,2828798077.2651005,-149675511.5117607,-0.7362202484014885
2018-01-24,2570251802.659931,2044772393.7522497,3065647843.1577024,2172649411.392073,1713616288.04749,2631682534.736656,2490729111,2362219496.8926873,1871505910.0699332,2838589843.2147293,128509614.10731268,0.6526205770593687
2018-01-25,2587512776.1645737,2131153028.8609037,3071366151.4078064,2311182804.2784925,1852189463.4200454,2770176145.1369395,2352338454,2442932254.3504276,1985194566.2906497,2913778438.520114,-90593800.35042763,-0.4605536734500013
2018-01-26,2637466644.818777,2171033143.077392,3140921758.503879,2299264103.4260745,1840455386.0250075,2758072820.827142,2243568532,2460513346.630821,1998069261.2061646,2940608709.5519776,-216944814.63082123,-1.0621910959054512
2018-01-29,2361935988.521854,1846810540.6863034,2874525952.561093,2221183323.7595577,1762556918.8580477,2679809728.661068,2187416281,2288291810.2260094,1802727618.6438012,2772647126.080585,-100875529.22600937,-0.4973231356020763
2018-01-30,2445018769.3200884,1943239716.3769412,2921601945.872199,2173783839.1590824,1715342388.2066293,2632225290.1115355,2445038814,2303104059.6371717,1823999974.1151173,2770195178.067955,141934754.36282825,0.715683141503294
2018-01-31,2479197274.7403345,1991743131.669887,2989449191.3857718,2285925072.8793087,1827562996.622627,2744287149.13599,2844952628,2378073985.049718,1905841304.1025336,2861176258.2849503,466878642.9502821,2.2792610432590212
2018-02-01,2401868907.511993,1942238779.0012362,2889942560.4890146,2526190550.395252,2067560696.6339886,2984820404.156516,2491742144,2466916096.849325,2007809329.0303245,2939584255.352659,24826047.15067482,0.13896920768028986
2018-02-02,2415628248.0240316,1922785482.8312764,2863579469.175437,2433496824.853043,1975051407.9840806,2891942241.722006,2751594961,2424977390.081918,1950131900.1602182,2878419352.185194,326617570.91808224,1.8388121712740286
2018-02-05,2172150790.037372,1670177867.5933385,2650530504.559254,2490995363.1627626,2032589423.2046807,2949401303.1208444,3598437288,2338975671.339362,1859797732.076825,2806904768.690325,1259461616.6606379,3.9660143910166332
2018-02-06,2264748366.7276134,1753800071.420508,2748872821.5374618,2949185162.0507894,2489192043.297243,3409178280.8043356,4072080890,2622857291.1457796,2138569607.298812,3094355822.190359,1449223598.8542204,3.364265579606559
2018-02-07,2350034555.247102,1875094637.5337307,2832962691.129977,3350850871.061817,2889242591.278081,3812459150.8455534,2865639412,2873678603.6757526,2405714024.740683,3345451829.728265,-8039191.67575264,-0.018601040710451214
